127.0.0.1 - - [04/Feb/2021:16:39:46 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:01 -0800] "GET /firstwebapp/index.jsp HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:07 -0800] "GET /firstwebapp/ HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:13 -0800] "GET /firstwebapp/ HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:14 -0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:20 -0800] "POST /firstwebapp/addArticle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:20 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:57 -0800] "GET /firstwebapp/searchArticle/?q=ds HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:40:57 -0800] "GET /firstwebapp/?q=ds HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:01 -0800] "GET /firstwebapp/searchArticle/?q=tit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:01 -0800] "GET /firstwebapp/?q=tit HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:05 -0800] "GET /firstwebapp/searchArticle/?q=title1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:05 -0800] "GET /firstwebapp/?q=title1 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:09 -0800] "GET /firstwebapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:09 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:14 -0800] "GET /firstwebapp/searchArticle/?q=hell HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:14 -0800] "GET /firstwebapp/?q=hell HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:19 -0800] "GET /firstwebapp/editArticle/?id=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:19 -0800] "GET /firstwebapp/editArticle.jsp?id=17 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:23 -0800] "POST /firstwebapp/editArticle/?id=17 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:41:23 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:44:06 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:44:07 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:44:07 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:44:54 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:11 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:12 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:14 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:14 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:14 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:14 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:15 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:15 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [04/Feb/2021:16:47:15 -0800] "GET /firstwebapp/ HTTP/1.1" 200 3167
